day,label,volume,fees,traders
2023-06-25 00:00:00.000 UTC,Level,2.2988799403239038e+07,27482.146566292373,36
2023-03-04 00:00:00.000 UTC,Level,6.998121820692357e+07,71928.68663657243,42
2023-06-10 00:00:00.000 UTC,Level,1.992472806092803e+08,200463.97766218317,65
2023-06-02 00:00:00.000 UTC,Level,8.109012053313954e+07,81912.82037019027,43
2023-03-20 00:00:00.000 UTC,Level,1.3245518538108365e+08,133255.24603671028,68
2023-06-23 00:00:00.000 UTC,Level,3.2327538382452983e+07,39010.5697668388,65
2023-05-07 00:00:00.000 UTC,Level,2.933570706431833e+07,29496.231761706298,40
2023-05-02 00:00:00.000 UTC,Level,4.412358496717015e+07,44373.790074715565,56
2023-04-03 00:00:00.000 UTC,Level,1.2264070682227765e+08,123725.73805075984,75
2023-06-20 00:00:00.000 UTC,Level,2.434092096776998e+07,39479.10463776474,64
2023-04-07 00:00:00.000 UTC,Level,1.291789645476139e+08,130452.05522365222,42
2023-07-03 00:00:00.000 UTC,Level,1.1995051803381583e+07,12179.846590412117,77
2023-03-01 00:00:00.000 UTC,Level,1.0707297442335744e+08,109652.2845648918,56
2023-03-28 00:00:00.000 UTC,Level,1.0660166649588966e+08,107187.58569134717,61
2023-04-28 00:00:00.000 UTC,Level,1.5226585200204313e+08,152798.90008819342,75
2023-04-19 00:00:00.000 UTC,Level,2.444896268966411e+08,264508.461006359,134
2023-07-16 00:00:00.000 UTC,Level,3.112417725989181e+07,31778.253835593558,33
2023-04-26 00:00:00.000 UTC,Level,1.1903200935091038e+08,121461.57643141576,91
2023-07-06 00:00:00.000 UTC,Level,1.5981251452892232e+08,160899.75292725788,78
2023-05-11 00:00:00.000 UTC,Level,8.877124659089257e+07,89258.74206229052,51
2023-03-06 00:00:00.000 UTC,Level,8.191212225399578e+07,84247.91885506963,45
2023-03-15 00:00:00.000 UTC,Level,6.350792796997366e+07,67798.77332709632,83
2023-05-19 00:00:00.000 UTC,Level,1.277580992328441e+07,13161.778267720585,17
2023-04-13 00:00:00.000 UTC,Level,2.732986624045694e+08,290757.63853403775,75
2023-07-12 00:00:00.000 UTC,Level,1.6400807378575745e+08,166588.03647839458,55
2023-04-29 00:00:00.000 UTC,Level,4.8032983286967106e+07,48178.15105025495,33
2023-07-21 00:00:00.000 UTC,Level,470644.6320372875,732.8697772891045,26
2023-07-01 00:00:00.000 UTC,Level,6.84607373450797e+06,6969.699307097091,54
2023-03-11 00:00:00.000 UTC,Level,6.157997079363067e+07,62008.76892760047,62
2023-07-23 00:00:00.000 UTC,Metavault,67435.8731665667,153.72333129421514,8
2023-06-14 00:00:00.000 UTC,Metavault,207244.8814725801,914.885018848591,17
2023-05-14 00:00:00.000 UTC,Metavault,62991.26793586125,88.32003788546858,12
2023-04-21 00:00:00.000 UTC,Metavault,474761.983586321,1122.9401713504703,33
2023-07-15 00:00:00.000 UTC,Metavault,147034.18348609458,152.18015014234084,13
